Description,Simulation,Mean ± Std
xy-ric2,vqe,-5.16950 ± 0.19350
xy-ric2,redundant (noise=7),-5.16950 ± 0.19350
xy-ric2,redundant (noise=21),-3.51178 ± 0.14152
xy-ric2,zne,-5.99836 ± 0.22031
xy-ric2,noiseoff,-8.36934 ± 0.15125
,,
xy-ric3,vqe,-5.16950 ± 0.19350
xy-ric3,redundant (noise=7),-5.16950 ± 0.19350
xy-ric3,redundant (noise=21),-3.51178 ± 0.14152
xy-ric3,redundant (noise=35),-2.38931 ± 0.10534
xy-ric3,zne,-6.19908 ± 0.22607
xy-ric3,noiseoff,-8.36934 ± 0.15125
,,
xy-ric4,vqe,-5.16950 ± 0.19350
xy-ric4,redundant (noise=7),-7.56658 ± 0.09632
xy-ric4,redundant (noise=21),-7.16958 ± 0.10397
xy-ric4,redundant (noise=35),-6.79802 ± 0.15592
xy-ric4,zne,-7.77463 ± 0.12070
xy-ric4,noiseoff,-8.36934 ± 0.15125
,,
xy-ric5,vqe,-5.16950 ± 0.19350
xy-ric5,redundant (noise=7),-5.16950 ± 0.19350
xy-ric5,redundant (noise=21),-3.51178 ± 0.14152
xy-ric5,redundant (noise=35),-2.38931 ± 0.10534
xy-ric5,redundant (noise=49),-1.62821 ± 0.07951
xy-ric5,redundant (noise=63),-1.11140 ± 0.06063
xy-ric5,zne,-6.26894 ± 0.22783
xy-ric5,noiseoff,-8.36934 ± 0.15125
,,
xy-ric6,vqe,-5.16950 ± 0.19350
xy-ric6,redundant (noise=7),-5.16950 ± 0.19350
xy-ric6,redundant (noise=21),-3.51178 ± 0.14152
xy-ric6,redundant (noise=35),-2.38931 ± 0.10534
xy-ric6,redundant (noise=49),-1.62821 ± 0.07951
xy-ric6,redundant (noise=63),-1.11140 ± 0.06063
xy-ric6,redundant (noise=77),-0.75993 ± 0.04656
xy-ric6,zne,-6.27353 ± 0.22793
xy-ric6,noiseoff,-8.36934 ± 0.15125
,,
xy-ric7,vqe,-5.16950 ± 0.19350
xy-ric7,redundant (noise=7),-5.16950 ± 0.19350
xy-ric7,redundant (noise=21),-3.51178 ± 0.14152
xy-ric7,redundant (noise=35),-2.38931 ± 0.10534
xy-ric7,redundant (noise=49),-1.62821 ± 0.07951
xy-ric7,redundant (noise=63),-1.11140 ± 0.06063
xy-ric7,redundant (noise=77),-0.75993 ± 0.04656
xy-ric7,redundant (noise=91),-0.52053 ± 0.03592
xy-ric7,zne,-6.27492 ± 0.22796
xy-ric7,noiseoff,-8.36934 ± 0.15125
,,
