Description,Simulation,Mean ± Std
xy-ric2,vqe,-8.09328 ± 0.06585
xy-ric2,redundant (noise=7),-8.09328 ± 0.06585
xy-ric2,redundant (noise=21),-7.84730 ± 0.06152
xy-ric2,zne,-8.21628 ± 0.07132
xy-ric2,noiseoff,-8.36934 ± 0.15125
,,
xy-ric3,vqe,-8.09328 ± 0.06585
xy-ric3,redundant (noise=7),-8.09328 ± 0.06585
xy-ric3,redundant (noise=21),-7.84730 ± 0.06152
xy-ric3,redundant (noise=35),-7.61821 ± 0.06656
xy-ric3,zne,-8.22261 ± 0.07142
xy-ric3,noiseoff,-8.36934 ± 0.15125
,,
xy-ric4,vqe,-8.09328 ± 0.06585
xy-ric4,redundant (noise=7),-8.09328 ± 0.06585
xy-ric4,redundant (noise=21),-7.84730 ± 0.06152
xy-ric4,redundant (noise=35),-7.61821 ± 0.06656
xy-ric4,redundant (noise=49),-7.40514 ± 0.07856
xy-ric4,zne,-8.22289 ± 0.07144
xy-ric4,noiseoff,-8.36934 ± 0.15125
,,
xy-ric5,vqe,-8.09328 ± 0.06585
xy-ric5,redundant (noise=7),-8.09328 ± 0.06585
xy-ric5,redundant (noise=21),-7.84730 ± 0.06152
xy-ric5,redundant (noise=35),-7.61821 ± 0.06656
xy-ric5,redundant (noise=49),-7.40514 ± 0.07856
xy-ric5,redundant (noise=63),-7.20726 ± 0.09459
xy-ric5,zne,-8.22291 ± 0.07144
xy-ric5,noiseoff,-8.36934 ± 0.15125
,,
